county,sub_county,Disease/ Condition,Number at Risk
Marsabit,Moyale,Contagious Caprine Pleuropneumonia (CCPP),2
Marsabit,Moyale,Rift Valley Fever (RVF),10
Marsabit,Moyale,Mastitis ,2
Marsabit,Moyale,Metritis,0
Marsabit,Moyale,Retained Placenta ,1
Marsabit,Moyale,Helminthiasis,8
Marsabit,Moyale,Lumpy Skin Disease (LSD),8
Marsabit,Saku,Foot and Mouth Disease (FMD),100
Marsabit,Moyale,Trypanosomiasis,6
Marsabit,Moyale,Helminthiasis,58
Marsabit,Moyale,Helminthiasis,0
Marsabit,Moyale,Wound ,3
Marsabit,Moyale,East Coast Fever(ECF),2
Marsabit,Moyale,None,0
Marsabit,Moyale,Helminthiasis,0
Marsabit,Moyale,Poisoning,78
Marsabit,Moyale,Lumpy Skin Disease (LSD),200
Marsabit,Moyale,Contagious Caprine Pleuropneumonia (CCPP),246
Marsabit,Moyale,Helminthiasis,4
Marsabit,Moyale,Contagious Caprine Pleuropneumonia (CCPP),125
Marsabit,Moyale,East Coast Fever(ECF),1
Marsabit,Moyale,Lumpy Skin Disease (LSD),3
Marsabit,Moyale,Foot and Mouth Disease (FMD),200
Marsabit,Moyale,Lumpy Skin Disease (LSD),1
Marsabit,Moyale,Enterotoxaemia,3
Marsabit,Moyale,Lumpy Skin Disease (LSD),2
Marsabit,Moyale,Brucellosis,32
Marsabit,Moyale,Brucellosis,29
Marsabit,Moyale,Helminthiasis,3
Marsabit,Moyale,Contagious Bovine Pleuropneumonia (CBPP),5
Marsabit,Moyale,Brucellosis,22
Marsabit,Moyale,Contagious Bovine Pleuropneumonia (CBPP),6
Marsabit,Moyale,Trypanosomiasis,7
Marsabit,Moyale,Brucellosis,39
Marsabit,Moyale,Acds,9
Marsabit,Laisamis,Contagious Caprine Pleuropneumonia (CCPP),51
Marsabit,Moyale,Brucellosis,33
Marsabit,Moyale,Brucellosis,73
Samburu,Samburu East,Flea Allergy Dermatitis,0
Marsabit,Laisamis,Heart Water,19
Marsabit,Moyale,Brucellosis,63
Marsabit,Moyale,ORF,28
Marsabit,Moyale,Contagious Caprine Pleuropneumonia (CCPP),13
Marsabit,Moyale,Brucellosis,27
Marsabit,Moyale,Abscess,0
Marsabit,North Horr,Fructure,7
Marsabit,Moyale,Fracture Of Tibia And Fibula,0
Marsabit,Moyale,Brucellosis,42
Marsabit,Moyale,Lumpy Skin Disease (LSD),3
Marsabit,Moyale,Skin Abscess ,0
Marsabit,North Horr,Trypanosomiasis,13
Marsabit,North Horr,Peste des Petit Ruminants (PPR),129
Marsabit,Moyale,Ephemeral Fever ,4
Marsabit,Moyale,Haemorrhagic septicemia,47
Marsabit,Moyale,Coccidiosis,2
Marsabit,Moyale,Contagious Caprine Pleuropneumonia (CCPP),786
Marsabit,Moyale,Contagious Ecthyma,0
Garissa,Lagdera,Contagious Caprine Pleuropneumonia (CCPP),500
Taita Taveta,Taveta,Anaplasmosis,3
Marsabit,Moyale,Trypanosomiasis,3
Marsabit,Moyale,Colic,1
Marsabit,North Horr,Helminthiasis,0
Marsabit,North Horr,Ectoparasite Infestation ,0
Marsabit,Moyale,Animal bites,0
Marsabit,Moyale,Brucellosis,37
Marsabit,Moyale,Mastitis,8
Marsabit,Moyale,Pg,0
Marsabit,Moyale,Acute Camel Death Syndrome ,25
Marsabit,North Horr,Helminthiasis,5
Marsabit,North Horr,Helminthiasis,6
Marsabit,North Horr,Pneumonia,39
Samburu,Samburu East,Helminthiasis,41
Taita Taveta,Taveta,Trypanosomiasis,3
Marsabit,North Horr,Cutenous Myiasis,0
Taita Taveta,Taveta,Helminthiasis,5
Garissa,Balambala,Brucellosis,46
Marsabit,North Horr,Mastitis,2
Marsabit,Moyale,Trypanosomiasis,7
Marsabit,Moyale,Taeniosis,1
Marsabit,Moyale,Goat Pox,89
Marsabit,Moyale,Rabies,0
Marsabit,Moyale,Foot and Mouth Disease (FMD),3
Marsabit,Moyale,Sheep Pox,51
Marsabit,Moyale,Eye Infection,8
Marsabit,Moyale,Helminthiasis,48
Marsabit,Moyale,Pneumonia,14
Marsabit,Moyale,Not Confirmed Yet,60
Marsabit,Saku, 0,50
Marsabit,Moyale,Trypanosomiasis,3
Marsabit,Moyale,Rabies,2
Taita Taveta,Taveta,Babesiosis ,8
Marsabit,Moyale,Upper respiratory infections,2
Marsabit,Moyale,Brucellosis,3
Marsabit,Moyale,Septic Wounds,5
Marsabit,Moyale,East Coast Fever(ECF),0
Marsabit,Moyale,Lumpy Skin Disease (LSD),3
Marsabit,Moyale,0,15
Marsabit,Moyale,Foot Rot,3
Marsabit,Moyale,East Coast Fever(ECF),3
Marsabit,Moyale,East Coast Fever(ECF),0
Marsabit,Moyale,Cut Wound ,0
Marsabit,Moyale,Helminthiasis,5
Marsabit,Moyale,Epmiral Fever ,5
Marsabit,Moyale,Black Quarter,4
Marsabit,Moyale,Pneumonia,3
Marsabit,Moyale,Anaplasmosis ,7
Marsabit,Moyale,Trypanosomiasis,3
Marsabit,Moyale,East Coast Fever(ECF),0
Marsabit,Moyale,Enterotoxaemia,80
Marsabit,Moyale,Sores Around The Gums,2
Marsabit,Moyale,East Coast Fever(ECF),1
Marsabit,Moyale,Helminthiasis,9
Marsabit,Moyale,Animal bites,14
Marsabit,Moyale,East Coast Fever(ECF),7
Marsabit,Moyale,Helminthiasis,12
Marsabit,Moyale,orf,9
Marsabit,Moyale,Trypanosomiasis,11
Marsabit,Moyale,Caseous Lymphad,19
Marsabit,Laisamis,Heart Water,12
Marsabit,Moyale,Animal bites,10
Marsabit,Moyale,Brucellosis,19
Marsabit,Moyale,Heart Water,19
Marsabit,Moyale,Brucellosis,10
Marsabit,Moyale,Helminthiasis,14
Marsabit,Moyale,Heart Water,14
Marsabit,Moyale,Trypanosomiasis,6
Marsabit,Moyale,Brucellosis,14
Marsabit,Moyale,Helminthiasis,46
Marsabit,Moyale,Retained Afterbirth,0
Marsabit,Moyale,Animal bites,0
Marsabit,Moyale,Brucellosis,68
Marsabit,Moyale,Helminthiasis ,6
Marsabit,Moyale,Pink Eye,16
Marsabit,Moyale,Pneumonia,10
Marsabit,Moyale,Helminthiasis,58
Marsabit,Moyale,Trypanosomiasis,28
Marsabit,Moyale,Brucellosis,42
Marsabit,Moyale,Newcastle Disease (NCD),39
Marsabit,Moyale,Pneumonia,0
Marsabit,Moyale,Helminthiasis,0
Marsabit,Moyale,N/A,41
Marsabit,Moyale,Poisoning,10
Marsabit,Moyale,Brucellosis,5
Baringo,Baringo North,Lumpy Skin Disease (LSD),71
Marsabit,Moyale,Contagious Bovine Pleuropneumonia (CBPP),5
Marsabit,Moyale,Brucellosis,83
Marsabit,Moyale,Trypanosomiasis,5
Marsabit,North Horr,Helminthiasis,0
Marsabit,Moyale,Helminthiasis,0
Marsabit,Moyale,Salmonellosis ,4
Marsabit,Moyale,Pneumonia,42
Marsabit,Moyale,Brucellosis,5
Marsabit,Moyale,East Coast Fever(ECF),2
Marsabit,Laisamis,Coccidosis,51
Marsabit,Moyale,Lumpy Skin Disease (LSD),90
Marsabit,Laisamis,Helminthiasis,3
Marsabit,Laisamis,Sheep Pox,502
Marsabit,Moyale,Helminthiasis,15
Marsabit,Moyale,Animal bites,12
Baringo,Baringo South,Lumpy Skin Disease (LSD),35
Marsabit,Moyale,Abscess,1
