name,county,latitude,longitude,ownership
,Makueni,-1.8517081,37.3965771,GOK
,Makueni,-1.8420446,37.4309495,GOK
,Makueni,-1.8589643,37.4102613,GOK
,Makueni,-1.8461017,37.4252775,GOK
,Makueni,-1.7903876,37.3608523,GOK
,Makueni,-1.8502802,37.6514678,GOK
,Makueni,-1.8563688,37.652133,GOK
,Marsabit,3.3020072,38.3773119,GOK
,Marsabit,3.3020072,38.3773119,GOK
,Marsabit,0.0,0.0,GOK
,Garissa,0.1657,39.0072,GOK
,Marsabit,3.5282856,39.048444,GOK
,Marsabit,3.4670918,38.9000835,GOK
,Marsabit,3.51128,38.975645,GOK
,Marsabit,3.530693,39.041189,GOK
,Marsabit,3.5282856,39.48444,GOK
,Marsabit,3.51115348,38.9736606,GOK
,Marsabit,3.51115348,38.9736606,GOK
,Marsabit,3.4515141,38.9418548,GOK
,Marsabit,3.4912273,38.249088,GOK
,Marsabit,,,GOK
,Marsabit,3.149389,39.240794,GOK
,Marsabit,3.5111308,38.0983455,GOK
,Marsabit,3.430379,39.222772,GOK
,Marsabit,3.503258,38.235465,GOK
,Marsabit,3.51115348,38.9736606,GOK
,Marsabit,3.0356238,38.8913403,GOK
,Marsabit,3.4780523,38.539013,GOK
,Marsabit,3.37678,38.354267,GOK
,Marsabit,2.425823,38.040773,GOK
,Marsabit,3.431099,39.207182,GOK
,Marsabit,3.5274506,39.0601677,GOK
,Marsabit,3.489035,38.241501,GOK
,Marsabit,3.511115348,38.9736606,GOK
,Marsabit,3.323503,38.47347,GOK
,Marsabit,3.15588,38.578842,GOK
,Marsabit,3.34111,39.204077,GOK
,Marsabit,3.59649,38.622327,GOK
,Marsabit,3.469026,39.238878,GOK
,Marsabit,3.429752,39.2424761,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.5642653,38.6436442,GOK
,Marsabit,3.607917,38.103166,GOK
,Marsabit,3.513208,38.632644,GOK
,Marsabit,3.43544,38.352826,GOK
,Marsabit,3.45418446,38.92760756,GOK
,Marsabit,3.51115348,38.9736606,GOK
,Marsabit,3.13488485,39.25624094,GOK
,Marsabit,3.13488485,39.25624094,GOK
,Marsabit,3.13488485,39.25624094,GOK
,Marsabit,3.13488485,39.25624094,GOK
,Marsabit,3.5642653,38.6436442,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.43649072,38.97473103,GOK
,Marsabit,3.592518,38.622327,GOK
,Marsabit,3.489035,38.241501,GOK
,Marsabit,3.51115348,38.9736606,GOK
,Marsabit,1.5898864,37.8019664,GOK
,Marsabit,3.3780533,39.0324832,GOK
,Marsabit,3.3780533,39.0324832,GOK
,Samburu,0.977315,37.31756166666666,GOK
,Marsabit,1.5884849,37.7996433,GOK
,Marsabit,3.51115348,38.9736606,GOK
,Marsabit,3.551126,38.643972,GOK
,Marsabit,3.489035,38.241501,GOK
,Marsabit,3.452485,38.515005,GOK
,Marsabit,3.489085,38.241528,GOK
,Marsabit,2.558487,38.0609965,GOK
,Marsabit,3.5238827,39.05626,GOK
,Marsabit,3.5238827,39.05626,GOK
,Marsabit,3.5265432,39.0683079,GOK
,Marsabit,3.5276022,39.0431312,GOK
,Marsabit,0.0,0.0,GOK
,Marsabit,0.0,0.0,GOK
,Marsabit,3.5221449,39.0524799,GOK
,Marsabit,3.452485,38.515005,GOK
,Marsabit,3.5203629,39.0614702,GOK
,Marsabit,3.518121,38.176427,GOK
,Marsabit,3.5238827,39.05626,GOK
,Garissa,0.45641,39.74472,GOK
,Taita Taveta,-3.4446349999999994,37.59149166666667,GOK
,Marsabit,3.5271026,39.0598354,GOK
,Marsabit,3.5270952,39.0598218,GOK
,Marsabit,3.1334026,37.4262785,GOK
,Marsabit,3.1334026,37.4262785,GOK
,Marsabit,3.5276113,39.0431177,GOK
,Marsabit,3.445269,38.2339338,GOK
,Marsabit,3.149389,39.240794,GOK
,Marsabit,3.149389,39.240794,GOK
,Marsabit,3.4912278,38.2439095,GOK
,Marsabit,3.2978203,38.3753375,GOK
,Marsabit,3.2978203,38.3753375,GOK
,Marsabit,3.1334026,37.4262785,GOK
,Samburu,0.9790203,37.3147508,GOK
,Taita Taveta,-3.4442799999999996,37.591919999999995,GOK
,Marsabit,4.186,36.126,GOK
,Taita Taveta,-3.4442416666666666,37.592045,GOK
,Garissa,0.3000075,38.7526892,GOK
,Marsabit,3.1322076,37.4306159,GOK
,Marsabit,3.37679,38.35428,GOK
,Marsabit,3.3521408,38.7442919,GOK
,Marsabit,3.604556,38.5196428,GOK
,Marsabit,3.5636792,38.6452829,GOK
,Marsabit,3.5219493,39.0563774,GOK
,Marsabit,3.445099,38.9552289,GOK
,Marsabit,3.437135,38.974851,GOK
,Marsabit,3.445099,38.9552289,GOK
,Marsabit,3.445099,38.9552289,GOK
,Marsabit,3.5140286,39.0526778,GOK
,Marsabit,2.376852,38.100255,GOK
,Marsabit,3.599692,38.528485,GOK
,Marsabit,3.13488485,39.25624094,GOK
,Taita Taveta,-3.5059433333333336,37.704258333333335,GOK
,Marsabit,3.13488485,39.25624094,GOK
,Marsabit,3.13488485,39.25624094,GOK
,Marsabit,3.4724218,39.0985804,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.5282783333333336,39.039925000000004,GOK
,Marsabit,3.5315733333333337,39.040843333333335,GOK
,Marsabit,3.53048,39.041473333333336,GOK
,Marsabit,3.531321666666667,39.04091833333334,GOK
,Marsabit,3.5297433333333337,39.03997833333334,GOK
,Marsabit,3.52973,39.04074666666667,GOK
,Marsabit,3.5088300000000006,39.047668333333334,GOK
,Marsabit,3.37678,38.354267,GOK
,Marsabit,3.526527,39.0686335,GOK
,Marsabit,3.3764775,38.3542106,GOK
,Marsabit,3.368272,38.34669,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.530073333333333,39.04120833333333,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.43544,38.352826,GOK
,Marsabit,3.489035,38.241501,GOK
,Marsabit,3.5218158,39.0526514,GOK
,Marsabit,2.4924374,36.8241862,GOK
,Marsabit,3.431099,39.207182,GOK
,Marsabit,3.6048091,38.5196428,GOK
,Marsabit,3.155705,38.578925,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.34111,39.204077,GOK
,Marsabit,3.5270668,39.0829577,GOK
,Marsabit,3.34111,39.204077,GOK
,Marsabit,3.5160997,39.0614702,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.5094664,39.0536548,GOK
,Marsabit,3.5094664,39.0536548,GOK
,Marsabit,3.446285,39.171518,GOK
,Marsabit,3.530755,39.04118166666667,GOK
,Marsabit,3.437134,38.974849,GOK
,Marsabit,3.530796666666667,39.04118666666667,GOK
,Marsabit,3.5097171,39.0536548,GOK
,Marsabit,3.5097171,39.0536548,GOK
,Marsabit,3.5097171,39.0536548,GOK
,Marsabit,3.5097171,39.0536548,GOK
,Marsabit,3.5270912,39.0598312,GOK
,Marsabit,3.5270922,39.0598305,GOK
,Marsabit,3.5270987,39.0598411,GOK
,Marsabit,3.5270987,39.0598411,GOK
,Marsabit,3.5270987,39.0598447,GOK
,Baringo,0.6246242,35.8871126,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.5285742,39.0627722,GOK
,Marsabit,3.482239,38.814269,GOK
,Marsabit,0.0,0.0,GOK
,Marsabit,3.5283531,39.0823067,GOK
,Marsabit,3.463143,39.242476,GOK
,Marsabit,3.5094664,39.0536548,GOK
,Marsabit,3.5283531,39.0823067,GOK
,Marsabit,3.5094664,39.0536548,GOK
,Marsabit,2.4878516,36.8416792,GOK
,Marsabit,3.446285,39.171518,GOK
,Marsabit,2.4924374,36.8241862,GOK
,Marsabit,2.4880807,36.842352,GOK
,Marsabit,3.4631429,39.2424758,GOK
,Marsabit,3.4355,38.96498,GOK
,Baringo,0.1624814,35.9000545,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.327542,39.221996,GOK
,Marsabit,3.5307066666666667,39.04113666666667,GOK
,Taita Taveta,-3.3525382,38.530806,GOK
,Taita Taveta,-3.4277491,38.4305986,GOK
,Marsabit,3.5283531,39.0823067,GOK
,Marsabit,2.5081583,37.5732664,GOK
,Taita Taveta,-3.4016461,38.3582236,GOK
,Marsabit,2.5081583,37.5732664,GOK
,Marsabit,2.5081583,37.5732664,GOK
,Marsabit,3.5294881,39.0696103,GOK
,Marsabit,3.4780523,38.539013,GOK
,Marsabit,3.4780523,38.539013,GOK
,Marsabit,3.311247,39.050744,GOK
,Marsabit,2.376852,38.100255,GOK
,Marsabit,3.155709,38.578935,GOK
,Marsabit,2.2148603,37.8868717,GOK
,Marsabit,3.5157194,39.0539804,GOK
