county,sub_county,Disease/ Condition,total
Samburu,Samburu East,Unkown,15
Samburu,Samburu East,Wound,0
Taita Taveta,Mwatate,Trypanosomiasis,404
Samburu,Samburu East,Fracture,0
Samburu,Samburu East,0,105
Samburu,Samburu North,Helminthiasis,213
Samburu,Samburu North,Pneumonia,170
Samburu,Samburu North,0,313
Samburu,Samburu East,Enteritis,13
Samburu,Samburu North,Trypanosomiasis,68
Samburu,Samburu West,Brucellosis,94
Samburu,Samburu East,Black Quarter,27
Samburu,Samburu North,Wounds and Abrasion,2
Samburu,Samburu East,Poisoning,3
Samburu,Samburu West,Poisoning,35
Samburu,Samburu East,Footrot,47
Samburu,Samburu West,Peste des Petit Ruminants (PPR),3154
Samburu,Samburu North,Rabies,33
Samburu,Samburu East,Contagious Caprine Pleuropneumonia (CCPP),4446
Samburu,Samburu East,East Coast Fever(ECF),20
Samburu,Samburu East,Animal bites,170
Samburu,Samburu West,Anaplasmosis,283
Samburu,Samburu East,Contagious Ecthyma,32
Samburu,Samburu East,Contagious Skin Necrosis,0
Samburu,Samburu East,None,3
Samburu,Samburu East,Pink Eye,138
Samburu,Samburu East,Goat Pox,62
Samburu,Samburu West,Coccidosis,19
Samburu,Samburu East,Infectious Bursai Disease (Gumboro),253
Samburu,Samburu East,Wounds,1
Samburu,Samburu East,Bluetongue Disease,1
Samburu,Samburu North,Contagious Caprine Pleuropneumonia (CCPP),1014
Samburu,Samburu North,Anaplasmosis,7
Kajiado,Kajiado Central,Anthrax,53
Samburu,Samburu West,Rift Valley Fever (RVF),25
Samburu,Samburu West,Lumpy Skin Disease (LSD),245
Samburu,Samburu North,Bacterial Enteritis,4
Samburu,Samburu North,Clinical Mastitis,2
Samburu,Samburu North,Lumpy Skin Disease (LSD),6
Samburu,Samburu East,Rabies,11
Samburu,Samburu East,Foot Abscess,0
Samburu,Samburu West,Anestrus,1
Samburu,Samburu North,Coryza,15
Samburu,Samburu East,Worms Infestation,5
Samburu,Samburu North,East Coast Fever(ECF),25
Samburu,Samburu East,Foot and Mouth Disease (FMD),1063
Samburu,Samburu East,Anaplasmosis,3
Samburu,Samburu East,Parakeratosis,0
Samburu,Samburu East,Fracture Of Radius And Ulna,0
Samburu,Samburu West,Rabies,3
Samburu,Samburu East,Coccidosis,36
Samburu,Samburu West,Contagious Porcine Paralysis,36
Samburu,Samburu North,Salmonellosis,3
Samburu,Samburu North,Mange,1
Samburu,Samburu East,Rab,0
Samburu,Samburu West,Mange,252
Samburu,Samburu West,Fowltyphoid,20
Samburu,Samburu West,Trypanosomiasis,133
Samburu,Samburu East,Coenurosis,61
Samburu,Samburu North,Peste des Petit Ruminants (PPR),4859
Samburu,Samburu West,Pneumonia,446
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),14288
Siaya,Rarieda,Peste des Petit Ruminants (PPR),22
